title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
X v. State (JJ-0400),India,Kerala,2018,JJ Board Kochi,assault,under 14,13-year-old involved in a local shop fight causing superficial scratches to peer. No weapon.,assault matter involving under 14 juvenile in Kerala.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
R v. Y-0774 (Youth),United Kingdom,England,2019,Youth Court Leeds,trespass,under 14,Unauthorized entry to a transit station by 13-year-old. No prior delinquency history.,trespass matter involving under 14 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0370,India,Gujarat,2022,JJ Board Ahmedabad,robbery,15-17,Strong-arm robbery allegation: 16-year-old and a transit station. First contact with juvenile court.,robbery matter involving 15-17 juvenile in Gujarat.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
R v. Minor 0897,United Kingdom,England,2024,Youth Court Manchester,vandalism,15-17,Minor spray-painted a bench; identified via surveillance at school. One prior warning only.,Juvenile vandalism case with limited history in England.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0031,United States,Washington,2020,King County Juvenile Court,theft,under 14,Theft reported: 14-year-old took cosmetics belonging to another at a neighbor's garage. One prior warning only.,theft matter involving under 14 juvenile in Washington.,Anger management; probation 9 months.,https://www.courtlistener.com/
State v. Minor-0276,United States,Massachusetts,2019,Suffolk Juvenile Court,burglary,15-17,Break-in at school; 17-year-old suspect identified. No prior record.,Juvenile burglary case with no prior record in Massachusetts.,Anger management; probation 9 months.,https://www.courtlistener.com/
R v. Y-0713 (Youth),United Kingdom,England,2023,Youth Court London,assault,under 14,School altercation: 13-year-old struck another student at a recreation center. No prior delinquency history.,assault incident at recreation center; minor in under 14 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0054,United States,Michigan,2020,Wayne County Juvenile Court,robbery,15-17,16-year-old took cosmetics from peer at a recreation center using implied force. No prior record.,Juvenile robbery case with no prior record in Michigan.,Youth education program; supervised release.,https://www.courtlistener.com/
In re Minor 0378,India,Haryana,2021,JJ Board Gurugram,arson,15-17,15-year-old set fire to playground equipment at a local shop. Minimal damage. No prior record.,arson matter involving 15-17 juvenile in Haryana.,Community service; probation.,https://services.ecourts.gov.in/
State v. Minor-0244,United States,New York,2024,Kings County Family Court,truancy,under 14,13-year-old chronically absent from a transit station; 30 unexcused days. No prior delinquency history.,truancy incident at transit station; minor in under 14 age group.,Restitution; informal probation.,https://www.courtlistener.com/
R v. Y-0812 (Youth),United Kingdom,Scotland,2022,Sheriff Court Glasgow,harassment,15-17,17-year-old sent repeated threatening messages to peer via text messages. One prior warning only.,harassment matter involving 15-17 juvenile in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0641 (Youth),United Kingdom,Wales,2023,Youth Court Cardiff,runaway,15-17,Runaway minor located after three days; Alleged neglect at home. First offense.,Juvenile runaway case with no prior record in Wales.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re C-0699 (Child),United Kingdom,England,2024,Youth Court Leeds,shoplifting,15-17,Minor stole snacks from a transit station; apprehended by security. No prior record.,shoplifting matter involving 15-17 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0191,United States,Colorado,2021,Denver Juvenile Court,theft,15-17,16-year-old stole a mobile phone from school. First offense.,Juvenile theft case with no prior record in Colorado.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re C-0868 (Child),United Kingdom,England,2024,Youth Court Birmingham,cybercrime,15-17,16-year-old sent phishing messages to classmates at a transit station. No financial gain. First contact with juvenile court.,cybercrime matter involving 15-17 juvenile in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re Child 0409,India,Madhya Pradesh,2020,JJ Board Bhopal,vandalism,15-17,Minor spray-painted a classroom window; identified via surveillance at a retail store. First contact with juvenile court.,vandalism matter involving 15-17 juvenile in Madhya Pradesh.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
Matter of Youth-0001,United States,California,2023,Los Angeles Juvenile Court,robbery,under 14,13-year-old took snacks from peer at a transit station using verbal intimidation. No prior delinquency history.,robbery incident at transit station; minor in under 14 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
X v. State (JJ-0537),India,Maharashtra,2023,Juvenile Justice Board Mumbai,weapon possession,15-17,16-year-old found with a pocketknife at a local shop. Not used. No prior delinquency history.,weapon possession matter involving 15-17 juvenile in Maharashtra.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re C-0698 (Child),United Kingdom,England,2023,Youth Court London,vandalism,under 14,14-year-old damaged a bench at a local shop. One prior warning only.,vandalism incident at local shop; minor in under 14 age group.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0326,India,Karnataka,2023,JJ Board Bengaluru,weapon possession,15-17,16-year-old found with pepper spray at a recreation center. Not used. First offense.,weapon possession matter involving 15-17 juvenile in Karnataka.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
R v. Y-0893 (Youth),United Kingdom,England,2018,Youth Court Birmingham,vandalism,15-17,Minor spray-painted restroom fixtures; identified via surveillance at a recreation center. No prior delinquency history.,vandalism matter involving 15-17 juvenile in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0659 (Child),United Kingdom,Scotland,2022,Sheriff Court Edinburgh,trespass,under 14,14-year-old entered restricted a local shop after hours. First offense.,trespass matter involving under 14 juvenile in Scotland.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0810,United Kingdom,Northern Ireland,2018,Youth Court Belfast,cybercrime,under 14,Juvenile accessed school network without authorization using personal device. Victim notified school. No prior record.,Juvenile cybercrime case with no prior record in Northern Ireland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0040,United States,Arizona,2024,Maricopa County Juvenile Court,burglary,15-17,Break-in at a community center; 17-year-old suspect identified. First contact with juvenile court.,burglary incident at community center; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
R v. Minor 0768,United Kingdom,Scotland,2019,Sheriff Court Glasgow,runaway,15-17,16-year-old left home and found at a neighbor's garage. Reunification assessment ordered. One prior warning only.,runaway incident at neighbor's garage; minor in 15-17 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0506),India,Delhi,2021,JJ Board Delhi,trespass,15-17,15-year-old entered restricted a recreation center after hours. No prior delinquency history.,Juvenile trespass case with no prior record in Delhi.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
State v. Minor-0201,United States,Ohio,2021,Cuyahoga County Juvenile Court,weapon possession,15-17,Security search at a public park revealed a BB gun in 17-year-old's bag. No prior record.,weapon possession matter involving 15-17 juvenile in Ohio.,House arrest 30 days; probation.,https://www.courtlistener.com/
In re Child 0591,India,Madhya Pradesh,2021,JJ Board Bhopal,curfew violation,15-17,Repeated curfew violations by 16-year-old in school. First offense.,curfew violation matter involving 15-17 juvenile in Madhya Pradesh.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Minor 0529,India,Odisha,2021,JJ Board Bhubaneswar,drug possession,15-17,17-year-old found with marijuana at a community center. No prior delinquency history.,drug possession incident at community center; minor in 15-17 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re Child 0328,India,Maharashtra,2021,Juvenile Justice Board Mumbai,runaway,under 14,Runaway minor located after two days; Reunification assessment ordered. First offense.,Juvenile runaway case with no prior record in Maharashtra.,Community service; probation.,https://services.ecourts.gov.in/
State v. Minor-0133,United States,Texas,2018,Harris County Juvenile Court,theft,under 14,Theft reported: 13-year-old took school supplies belonging to another at a transit station. One prior warning only.,theft matter involving under 14 juvenile in Texas.,Youth education program; supervised release.,https://www.courtlistener.com/
R v. Y-0855 (Youth),United Kingdom,England,2021,Youth Court Leeds,theft,15-17,16-year-old stole snacks from a retail store. First offense.,theft incident at retail store; minor in 15-17 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0858 (Youth),United Kingdom,Wales,2022,Youth Court Cardiff,curfew violation,15-17,15-year-old found in public at a public park after curfew. First offense.,curfew violation matter involving 15-17 juvenile in Wales.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
